trial,ns
1296,41.0
1297,42.0
1298,40.0
1299,43.0
1300,41.0
1301,40.0
1302,41.0
1303,42.0
1304,40.0
1305,41.0
1306,41.0
1307,42.0
1308,41.0
1309,40.0
1310,41.0
1311,42.0
1312,41.0
1313,41.0
1314,43.0
1315,42.0
1316,41.0
1317,41.0
1318,42.0
1319,42.0
1320,40.0
1321,43.0
1322,40.0
1323,41.0
1324,43.0
1325,41.0
1326,40.0
1327,41.0
1328,42.0
1329,41.0
1330,42.0
1331,41.0
1332,42.0
1333,41.0
1334,43.0
1335,42.0
1336,41.0
1337,41.0
1338,41.0
1339,40.0
1340,41.0
1341,42.0
1342,41.0
1343,42.0
1344,42.0
1345,41.0
1346,42.0
1347,41.0
1348,42.0
1349,42.0
1350,41.0
1351,41.0
1352,42.0
1353,41.0
1354,41.0
1355,41.0
1356,41.0
1357,40.0
1358,42.0
1359,40.0
1360,41.0
1361,43.0
1362,41.0
1363,40.0
1364,41.0
1365,41.0
1366,43.0
1367,41.0
1368,41.0
1369,43.0
1370,41.0
1371,41.0
1372,40.0
1373,41.0
1374,42.0
1375,40.0
1376,43.0
1377,41.0
1378,40.0
1379,42.0
1380,40.0
1381,42.0
1382,41.0
1383,41.0
1384,41.0
1385,40.0
1386,43.0
1387,40.0
1388,41.0
1389,43.0
1390,40.0
1391,42.0
1392,40.0
1393,41.0
1394,40.0
1395,41.0
1396,43.0
1397,42.0
1398,42.0
1399,41.0
1400,41.0
1401,41.0
1402,41.0
1403,42.0
1404,42.0
1405,40.0
1406,41.0
1407,41.0
1408,43.0
1409,41.0
1410,41.0
1411,43.0
1412,41.0
1413,40.0
1414,41.0
1415,40.0
1416,42.0
1417,41.0
1418,40.0
1419,41.0
1420,40.0
1421,41.0
1422,40.0
1423,41.0
1424,43.0
1425,41.0
1426,41.0
1427,42.0
1428,41.0
1429,41.0
1430,42.0
1431,41.0
1432,41.0
1433,42.0
1434,41.0
1435,41.0
1436,42.0
1437,41.0
1438,41.0
1439,42.0
1440,40.0
1441,41.0
1442,43.0
1443,42.0
1444,40.0
1445,41.0
1446,41.0
1447,41.0
1448,42.0
1449,40.0
1450,41.0
1451,41.0
1452,42.0
1453,41.0
1454,42.0
1455,40.0
1456,41.0
1457,41.0
1458,41.0
1459,41.0
1460,39.0
1461,42.0
1462,41.0
1463,41.0
1464,42.0
1465,39.0
1466,41.0
1467,41.0
1468,41.0
1469,40.0
1470,41.0
1471,41.0
1472,39.0
1473,41.0
1474,41.0
1475,40.0
1476,41.0
1477,41.0
1478,41.0
1479,39.0
1480,41.0
1481,42.0
1482,38.0
1483,42.0
1484,40.0
1485,40.0
1486,40.0
1487,42.0
1488,41.0
1489,41.0
1490,40.0
1491,41.0
1492,40.0
1493,41.0
1494,41.0
1495,40.0
1496,41.0
1497,42.0
1498,41.0
